index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
84,HIGHWAY,1706,2018,104,-2,2,378,30,24,1
85,HIGHWAY,1682,1993,104,-2,2,414,27,25,1
86,HIGHWAY,1146,1370,104,-2,2,301,25,21,1
87,HIGHWAY,1110,1326,104,2,2,262,24,19,1
88,HIGHWAY,4108,4419,104,2,-2,720,43,27,1
89,HIGHWAY,2375,2586,104,-2,2,477,27,30,1
90,HIGHWAY,3519,3830,104,2,2,605,32,32,1
91,HIGHWAY,675,986,104,-2,-2,244,22,19,1
92,HIGHWAY,352,572,104,2,-2,147,17,16,1
93,HIGHWAY,3895,4111,104,2,-2,702,39,35,1
94,HIGHWAY,312,521,104,2,-2,137,17,16,1
95,HIGHWAY,320,529,104,2,-2,138,17,16,1
96,HIGHWAY,686,999,104,-2,-2,240,22,20,1
97,HIGHWAY,227,436,104,2,2,114,15,14,1
98,HIGHWAY,2637,2853,104,-2,2,575,35,33,1
99,HIGHWAY,227,436,104,2,2,113,15,14,1
100,HIGHWAY,18628,18939,104,2,2,2295,68,59,1
101,HIGHWAY,2728,2936,104,2,-2,566,25,35,1
102,HIGHWAY,1614,1830,104,-2,-2,330,26,25,1
103,HIGHWAY,2952,3168,104,-2,-2,612,33,34,1
104,HIGHWAY,1815,2126,104,2,2,388,26,29,1
105,HIGHWAY,324,635,104,2,-2,165,18,17,1
106,HIGHWAY,768,1079,104,2,2,258,22,22,1
107,HIGHWAY,507,719,104,2,2,174,15,19,1
108,HIGHWAY,1999,2311,104,-2,-2,430,24,32,1
109,HIGHWAY,1470,1686,104,2,2,331,25,26,1
110,HIGHWAY,11666,11881,104,-2,2,1643,58,49,1
111,HIGHWAY,584,800,104,-2,-2,192,20,21,1
112,HIGHWAY,5892,6105,104,2,2,996,39,44,1
113,HIGHWAY,1006,1224,104,-2,-2,265,21,21,1
114,HIGHWAY,335,646,104,-2,-2,166,18,18,1
115,HIGHWAY,4108,4410,104,2,2,701,41,30,1
116,HIGHWAY,4339,4555,104,2,-2,749,34,33,1
117,HIGHWAY,5951,6263,104,2,2,1070,59,34,1
118,HIGHWAY,667,978,104,-2,-2,244,22,19,1
119,HIGHWAY,1678,1989,104,-2,2,414,27,25,1
120,HIGHWAY,264,472,104,-2,2,127,16,13,1
121,HIGHWAY,41139,41450,104,-2,-2,3904,88,75,1
122,HIGHWAY,260,468,104,-2,2,125,16,12,1
123,HIGHWAY,690,1003,104,-2,-2,240,22,20,1
124,HIGHWAY,260,571,104,-2,2,156,18,16,1
125,HIGHWAY,360,568,104,2,-2,150,16,16,1
126,HIGHWAY,256,567,104,-2,2,154,18,16,1
127,HIGHWAY,18632,18943,104,2,2,2295,68,59,1
128,HIGHWAY,1206,1520,104,2,-2,314,23,26,1
129,HIGHWAY,1492,1710,104,-2,2,317,24,26,1
130,HIGHWAY,5757,5977,104,2,2,841,41,33,1
131,HIGHWAY,9824,10135,104,2,-2,1330,50,46,1
132,HIGHWAY,295,606,104,2,2,158,18,18,1
133,HIGHWAY,215,526,104,2,2,140,17,17,1
134,HIGHWAY,506,722,104,2,2,161,18,18,1
135,HIGHWAY,3300,3520,104,-2,2,615,30,32,1
136,HIGHWAY,2487,2695,104,-2,-2,524,33,25,1
137,HIGHWAY,3845,4065,104,-2,-2,648,41,25,1
138,HIGHWAY,12765,12981,104,-2,2,1741,53,63,1
139,HIGHWAY,292,603,104,-2,2,152,16,18,1
140,HIGHWAY,319,630,104,2,2,167,18,18,1
141,HIGHWAY,5877,6188,104,-2,-2,921,43,35,1
142,HIGHWAY,3509,3820,104,2,2,605,35,35,1
143,HIGHWAY,1133,1422,104,-2,-2,303,23,24,1
144,HIGHWAY,19376,19589,104,2,-2,2054,54,57,1
145,HIGHWAY,316,627,104,2,-2,163,18,17,1
146,HIGHWAY,1418,1730,104,2,-2,370,27,26,1
147,HIGHWAY,1857,2168,104,-2,-2,468,30,26,1
148,HIGHWAY,7862,8078,104,2,2,1298,53,49,1
149,HIGHWAY,659,970,104,-2,-2,237,20,21,1
150,HIGHWAY,540,754,104,-2,-2,193,18,20,1
151,HIGHWAY,4219,4530,104,-2,-2,688,35,37,1
152,HIGHWAY,1619,1835,104,-2,2,330,25,26,1
153,HIGHWAY,1242,1531,104,2,-2,330,24,24,1
154,HIGHWAY,33099,33407,104,2,2,2920,69,69,1
155,HIGHWAY,1210,1524,104,2,-2,314,23,26,1
156,HIGHWAY,715,1026,104,2,2,260,22,23,1
157,HIGHWAY,335,646,104,-2,-2,166,17,19,1
158,HIGHWAY,271,488,104,2,2,125,16,16,1
159,HIGHWAY,299,610,104,2,2,158,18,18,1
160,HIGHWAY,2654,2862,104,2,-2,549,25,35,1
161,HIGHWAY,11195,11411,104,2,-2,1647,43,59,1
162,HIGHWAY,856,1167,104,2,-2,287,22,23,1
163,HIGHWAY,2859,3170,104,-2,-2,622,40,29,1
164,HIGHWAY,3837,4057,104,-2,-2,648,41,25,1
165,HIGHWAY,6026,6325,104,2,2,896,43,32,1
166,HIGHWAY,2773,2993,104,2,2,537,31,27,1
167,HIGHWAY,591,904,104,-2,2,216,20,20,1
168,HIGHWAY,356,667,104,-2,2,173,19,17,1
169,HIGHWAY,16607,16918,104,2,2,1758,52,48,1
170,HIGHWAY,2487,2695,104,-2,-2,524,32,25,1
171,HIGHWAY,3526,3751,104,-2,2,678,27,39,1
172,HIGHWAY,312,623,104,2,-2,162,18,17,1
173,HIGHWAY,10273,10566,104,2,2,1350,35,49,1
174,HIGHWAY,2639,2847,104,-2,-2,549,35,25,1
175,HIGHWAY,340,651,104,2,-2,163,17,19,1
176,HIGHWAY,899,1210,104,2,-2,281,23,24,1
177,HIGHWAY,3258,3508,104,2,-2,598,30,33,1
178,HIGHWAY,3549,3765,104,2,2,700,33,34,1
179,HIGHWAY,8216,8527,104,2,-2,1294,49,43,1
180,HIGHWAY,4513,4744,104,2,2,788,29,46,1
181,HIGHWAY,21453,21761,104,-2,-2,2323,73,60,1
182,HIGHWAY,1202,1516,104,2,-2,314,23,26,1
183,HIGHWAY,1488,1706,104,-2,2,317,24,26,1
184,HIGHWAY,356,667,104,-2,2,173,19,17,1
185,HIGHWAY,1860,2076,104,2,2,427,27,31,1
186,HIGHWAY,2419,2627,104,-2,-2,514,32,25,1
187,HIGHWAY,2658,2866,104,2,-2,549,25,35,1
188,HIGHWAY,7030,7246,104,-2,-2,1102,49,42,1
189,HIGHWAY,649,961,104,2,2,238,20,22,1
190,HIGHWAY,2483,2691,104,-2,-2,524,33,25,1
191,HIGHWAY,3841,4061,104,-2,-2,648,41,25,1
192,HIGHWAY,351,559,104,-2,-2,157,16,16,1
193,HIGHWAY,20541,20756,104,2,2,2296,53,70,1
194,HIGHWAY,1112,1423,104,-2,2,288,25,24,1
195,HIGHWAY,2290,2506,104,2,2,500,32,27,1
196,HIGHWAY,295,606,104,2,2,158,18,18,1
197,HIGHWAY,215,526,104,2,2,140,17,17,1
198,HIGHWAY,1028,1340,104,2,-2,275,26,21,1
199,HIGHWAY,1051,1335,104,2,2,293,23,22,1
200,HIGHWAY,6658,6874,104,2,-2,1002,43,41,1
201,HIGHWAY,383,603,104,-2,-2,150,17,16,1
202,HIGHWAY,556,770,104,2,2,194,18,20,1
203,HIGHWAY,3773,4066,104,-2,-2,718,31,38,1
204,HIGHWAY,327,638,104,2,2,168,18,18,1
205,HIGHWAY,223,534,104,2,2,144,17,17,1
206,HIGHWAY,2789,2997,104,-2,-2,563,35,25,1
207,HIGHWAY,3166,3382,104,-2,-2,643,35,32,1
208,HIGHWAY,2645,2853,104,2,2,549,35,25,1
209,HIGHWAY,41983,42294,104,2,-2,3195,71,71,1
210,HIGHWAY,2721,2929,104,2,2,552,35,25,1
211,HIGHWAY,3241,3457,104,2,-2,687,34,35,1
212,HIGHWAY,847,1158,104,2,2,287,23,22,1
213,HIGHWAY,4921,5219,104,2,2,918,40,41,1
214,HIGHWAY,839,1150,104,2,2,287,23,22,1
215,HIGHWAY,360,580,104,2,-2,148,17,16,1
216,HIGHWAY,11671,11886,104,2,2,1643,49,58,1
217,HIGHWAY,13070,13294,104,2,-2,1379,40,55,1
218,HIGHWAY,5538,5851,104,2,2,900,45,31,1
219,HIGHWAY,355,563,104,-2,-2,157,16,16,1
220,HIGHWAY,503,814,104,2,2,205,19,21,1
221,HIGHWAY,271,488,104,2,2,131,15,17,1
222,HIGHWAY,271,488,104,2,2,125,16,16,1
223,HIGHWAY,299,610,104,2,2,158,18,18,1
224,HIGHWAY,5063,5279,104,-2,2,767,33,44,1
225,HIGHWAY,344,655,104,2,-2,172,18,17,1
226,HIGHWAY,3700,3916,104,-2,-2,722,32,35,1
227,HIGHWAY,3368,3592,104,-2,2,682,23,42,1
228,HIGHWAY,375,595,104,-2,-2,150,17,16,1
229,HIGHWAY,611,922,104,-2,-2,239,20,21,1
230,HIGHWAY,19369,19582,104,-2,-2,2054,57,54,1
231,HIGHWAY,892,1203,104,-2,-2,281,24,23,1
232,HIGHWAY,2896,3112,104,-2,-2,546,31,32,1
233,HIGHWAY,1664,1957,104,-2,2,417,27,29,1
234,HIGHWAY,3114,3407,104,-2,2,677,31,33,1
235,HIGHWAY,599,819,104,-2,-2,190,20,17,1
236,HIGHWAY,352,663,104,2,-2,170,19,19,1
237,HIGHWAY,729,1040,104,2,-2,250,22,22,1
238,HIGHWAY,9969,10198,104,2,2,1423,52,45,1
239,HIGHWAY,9374,9667,104,2,-2,1283,43,44,1
240,HIGHWAY,3828,4048,104,2,-2,648,25,41,1
241,HIGHWAY,7274,7498,104,2,-2,908,45,33,1
