rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
RRRRRLLRLLR,TIMEOUT,-1,20000000,-1,0,0,793,30,30,0
RRRRRLLRLLL,TIMEOUT,-1,20000000,-1,0,0,137957,492,443,0
RRRRRLLLRRR,HIGHWAY,143356,149504,136,2,2,3643,162,123,1
RRRRRLLLRRL,TIMEOUT,-1,20000000,-1,0,0,72475,299,322,0
RRRRRLLLRLR,TIMEOUT,-1,20000000,-1,0,0,6677,91,90,0
RRRRRLLLRLL,TIMEOUT,-1,20000000,-1,0,0,100348,354,359,0
RRRRRLLLLRR,TIMEOUT,-1,20000000,-1,0,0,847,32,32,0
RRRRRLLLLRL,TIMEOUT,-1,20000000,-1,0,0,114057,426,376,0
RRRRRLLLLLR,HIGHWAY,596234,600064,1200,-4,-4,15948,153,161,1
RRRRRLLLLLL,TIMEOUT,-1,20000000,-1,0,0,7521,95,94,0
RRRRLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,2001857,1417,1415,0
RRRRLRRRRRL,TIMEOUT,-1,20000000,-1,0,0,154235,486,506,0
RRRRLRRRRLR,HIGHWAY,103,4096,68,2,-2,606,122,123,1
RRRRLRRRRLL,HIGHWAY,103,4096,68,2,-2,606,122,123,1
RRRRLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,96456,341,395,0
RRRRLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,140916,447,460,0
RRRRLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,149860,428,412,0
RRRRLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,2463042,1570,1570,0
RRRRLRRLRRR,TIMEOUT,-1,20000000,-1,0,0,14811,128,128,0
RRRRLRRLRRL,TIMEOUT,-1,20000000,-1,0,0,99780,366,381,0
RRRRLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,103617,405,354,0
RRRRLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,93761,367,382,0
RRRRLRRLLRR,TIMEOUT,-1,20000000,-1,0,0,128825,445,439,0
RRRRLRRLLRL,TIMEOUT,-1,20000000,-1,0,0,118656,429,387,0
RRRRLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,94837,386,346,0
RRRRLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,24040,173,176,0
RRRRLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,842,32,32,0
RRRRLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,87719,366,344,0
RRRRLRLRRLR,HIGHWAY,22327,25600,148,-2,2,1186,76,71,1
RRRRLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,7732,99,98,0
RRRRLRLRLRR,TIMEOUT,-1,20000000,-1,0,0,93233,333,372,0
RRRRLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,79315,315,334,0
RRRRLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,8272,101,103,0
RRRRLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,80337,325,320,0
RRRRLRLLRRR,HIGHWAY,1301661,1303552,372,2,-2,15994,151,153,1
RRRRLRLLRRL,HIGHWAY,309,4096,148,2,-2,486,60,59,1
RRRRLRLLRLR,TIMEOUT,-1,20000000,-1,0,0,89450,322,368,0
RRRRLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,99184,371,344,0
RRRRLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,12106,116,130,0
RRRRLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,86861,331,334,0
RRRRLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,87205,318,352,0
RRRRLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,75621,298,312,0
RRRRLLRRRRR,TIMEOUT,-1,20000000,-1,0,0,296,18,18,0
RRRRLLRRRRL,TIMEOUT,-1,20000000,-1,0,0,61669,279,275,0
RRRRLLRRRLR,TIMEOUT,-1,20000000,-1,0,0,73930,305,312,0
RRRRLLRRRLL,TIMEOUT,-1,20000000,-1,0,0,818,32,32,0
RRRRLLRRLRR,HIGHWAY,171,1024,132,-2,2,150,19,19,1
RRRRLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,6935,93,92,0
RRRRLLRRLLR,TIMEOUT,-1,20000000,-1,0,0,838,32,32,0
RRRRLLRRLLL,TIMEOUT,-1,20000000,-1,0,0,25328,182,175,0
RRRRLLRLRRR,HIGHWAY,19466,23552,1284,6,6,1140,59,47,1
RRRRLLRLRRL,TIMEOUT,-1,20000000,-1,0,0,82025,358,323,0
RRRRLLRLRLR,TIMEOUT,-1,20000000,-1,0,0,7417,96,95,0
RRRRLLRLRLL,TIMEOUT,-1,20000000,-1,0,0,85531,329,324,0
RRRRLLRLLRR,TIMEOUT,-1,20000000,-1,0,0,838,32,32,0
RRRRLLRLLRL,HIGHWAY,1189232,1189888,98,1,1,9985,122,111,1
RRRRLLRLLLR,HIGHWAY,759,4096,140,-2,2,523,58,59,1
RRRRLLRLLLL,TIMEOUT,-1,20000000,-1,0,0,7269,96,96,0
RRRRLLLRRRR,HIGHWAY,6314039,6316032,640,-2,2,37930,220,225,1
RRRRLLLRRRL,HIGHWAY,5078,9216,536,4,-4,791,54,53,1
RRRRLLLRRLR,TIMEOUT,-1,20000000,-1,0,0,89274,342,346,0
RRRRLLLRRLL,TIMEOUT,-1,20000000,-1,0,0,22848,171,163,0
RRRRLLLRLRR,TIMEOUT,-1,20000000,-1,0,0,9519,108,107,0
RRRRLLLRLRL,TIMEOUT,-1,20000000,-1,0,0,81013,313,348,0
RRRRLLLRLLR,TIMEOUT,-1,20000000,-1,0,0,107193,335,411,0
RRRRLLLRLLL,TIMEOUT,-1,20000000,-1,0,0,76366,298,323,0
RRRRLLLLRRR,TIMEOUT,-1,20000000,-1,0,0,870,32,32,0
RRRRLLLLRRL,TIMEOUT,-1,20000000,-1,0,0,20516,152,165,0
RRRRLLLLRLR,HIGHWAY,535,1024,148,2,-2,134,16,17,1
RRRRLLLLRLL,TIMEOUT,-1,20000000,-1,0,0,7411,98,97,0
RRRRLLLLLRR,HIGHWAY,1205,2048,192,2,2,196,23,23,1
RRRRLLLLLRL,TIMEOUT,-1,20000000,-1,0,0,74071,305,304,0
RRRRLLLLLLR,TIMEOUT,-1,20000000,-1,0,0,9327,104,108,0
RRRRLLLLLLL,TIMEOUT,-1,20000000,-1,0,0,1242,36,36,0
RRRLRRRRRRR,TIMEOUT,-1,20000000,-1,0,0,2504674,1584,1584,0
RRRLRRRRRRL,TIMEOUT,-1,20000000,-1,0,0,135920,419,424,0
RRRLRRRRRLR,TIMEOUT,-1,20000000,-1,0,0,142490,436,438,0
RRRLRRRRRLL,TIMEOUT,-1,20000000,-1,0,0,2504874,1584,1584,0
RRRLRRRRLRR,TIMEOUT,-1,20000000,-1,0,0,142923,475,475,0
RRRLRRRRLRL,TIMEOUT,-1,20000000,-1,0,0,188676,520,538,0
RRRLRRRRLLR,TIMEOUT,-1,20000000,-1,0,0,130483,428,394,0
RRRLRRRRLLL,TIMEOUT,-1,20000000,-1,0,0,152691,427,499,0
RRRLRRRLRRR,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLRRL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLRLR,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLRLL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLLRR,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLLRL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLLLR,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLLLL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,18753,158,153,0
RRRLRRLRRRL,TIMEOUT,-1,20000000,-1,0,0,125763,413,432,0
RRRLRRLRRLR,TIMEOUT,-1,20000000,-1,0,0,117357,407,402,0
RRRLRRLRRLL,TIMEOUT,-1,20000000,-1,0,0,128704,434,435,0
RRRLRRLRLRR,TIMEOUT,-1,20000000,-1,0,0,122546,413,421,0
RRRLRRLRLRL,TIMEOUT,-1,20000000,-1,0,0,145373,483,448,0
RRRLRRLRLLR,TIMEOUT,-1,20000000,-1,0,0,146698,420,496,0
RRRLRRLRLLL,TIMEOUT,-1,20000000,-1,0,0,187943,510,540,0
RRRLRRLLRRR,TIMEOUT,-1,20000000,-1,0,0,295847,608,579,0
RRRLRRLLRRL,TIMEOUT,-1,20000000,-1,0,0,185594,460,436,0
RRRLRRLLRLR,TIMEOUT,-1,20000000,-1,0,0,148774,409,437,0
RRRLRRLLRLL,HIGHWAY,80,2048,108,-2,2,274,42,41,1
RRRLRRLLLRR,TIMEOUT,-1,20000000,-1,0,0,3333434,1829,1823,0
RRRLRRLLLRL,TIMEOUT,-1,20000000,-1,0,0,3338647,1828,1827,0
RRRLRRLLLLR,TIMEOUT,-1,20000000,-1,0,0,12986,114,114,0
RRRLRRLLLLL,TIMEOUT,-1,20000000,-1,0,0,3337474,1828,1827,0
RRRLRLRRRRR,TIMEOUT,-1,20000000,-1,0,0,1548,42,42,0
RRRLRLRRRRL,TIMEOUT,-1,20000000,-1,0,0,120833,381,448,0
RRRLRLRRRLR,TIMEOUT,-1,20000000,-1,0,0,128634,405,417,0
RRRLRLRRRLL,TIMEOUT,-1,20000000,-1,0,0,11744,118,116,0
RRRLRLRRLRR,TIMEOUT,-1,20000000,-1,0,0,120941,386,440,0
RRRLRLRRLRL,TIMEOUT,-1,20000000,-1,0,0,124603,425,455,0
RRRLRLRRLLR,TIMEOUT,-1,20000000,-1,0,0,11086,119,121,0
RRRLRLRRLLL,TIMEOUT,-1,20000000,-1,0,0,119485,411,408,0
RRRLRLRLRRR,TIMEOUT,-1,20000000,-1,0,0,106029,371,392,0
RRRLRLRLRRL,TIMEOUT,-1,20000000,-1,0,0,118506,394,454,0
RRRLRLRLRLR,TIMEOUT,-1,20000000,-1,0,0,112548,404,398,0
RRRLRLRLRLL,TIMEOUT,-1,20000000,-1,0,0,124132,392,441,0
RRRLRLRLLRR,TIMEOUT,-1,20000000,-1,0,0,13759,132,136,0
RRRLRLRLLRL,TIMEOUT,-1,20000000,-1,0,0,106741,423,386,0
RRRLRLRLLLR,TIMEOUT,-1,20000000,-1,0,0,108962,348,420,0
RRRLRLRLLLL,TIMEOUT,-1,20000000,-1,0,0,107298,393,388,0
RRRLRLLRRRR,TIMEOUT,-1,20000000,-1,0,0,129768,429,410,0
RRRLRLLRRRL,TIMEOUT,-1,20000000,-1,0,0,117161,378,448,0
RRRLRLLRRLR,TIMEOUT,-1,20000000,-1,0,0,108030,408,334,0
RRRLRLLRRLL,TIMEOUT,-1,20000000,-1,0,0,141514,486,472,0
RRRLRLLRLRR,TIMEOUT,-1,20000000,-1,0,0,124852,459,407,0
RRRLRLLRLRL,TIMEOUT,-1,20000000,-1,0,0,127018,403,430,0
RRRLRLLRLLR,HIGHWAY,16908,21504,58,1,-1,1945,133,98,1
RRRLRLLRLLL,TIMEOUT,-1,20000000,-1,0,0,175536,490,494,0
RRRLRLLLRRR,TIMEOUT,-1,20000000,-1,0,0,15525,138,130,0
RRRLRLLLRRL,TIMEOUT,-1,20000000,-1,0,0,111913,391,386,0
RRRLRLLLRLR,TIMEOUT,-1,20000000,-1,0,0,106870,395,370,0
RRRLRLLLRLL,TIMEOUT,-1,20000000,-1,0,0,103297,394,386,0
RRRLRLLLLRR,TIMEOUT,-1,20000000,-1,0,0,99078,362,375,0
RRRLRLLLLRL,TIMEOUT,-1,20000000,-1,0,0,100737,368,359,0
RRRLRLLLLLR,TIMEOUT,-1,20000000,-1,0,0,101066,363,346,0
RRRLRLLLLLL,TIMEOUT,-1,20000000,-1,0,0,14228,125,122,0
RRRLLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,302,18,18,0
RRRLLRRRRRL,TIMEOUT,-1,20000000,-1,0,0,61216,283,285,0
RRRLLRRRRLR,TIMEOUT,-1,20000000,-1,0,0,69266,296,306,0
RRRLLRRRRLL,TIMEOUT,-1,20000000,-1,0,0,857,32,32,0
RRRLLRRRLRR,HIGHWAY,202542,206848,820,-6,6,4633,110,83,1
RRRLLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,7239,97,96,0
RRRLLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,853,32,32,0
RRRLLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,65916,278,290,0
RRRLLRRLRRR,OOB,-1,410689,-1,0,0,12777,1042,1055,0
RRRLLRRLRRL,TIMEOUT,-1,20000000,-1,0,0,87375,335,364,0
RRRLLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,7705,97,100,0
RRRLLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,82882,328,340,0
RRRLLRRLLRR,TIMEOUT,-1,20000000,-1,0,0,894,33,33,0
RRRLLRRLLRL,TIMEOUT,-1,20000000,-1,0,0,73732,301,300,0
RRRLLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,27834,195,216,0
RRRLLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,7995,106,102,0
RRRLLRLRRRR,HIGHWAY,6710,10240,284,2,2,770,52,52,1
RRRLLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,106877,417,370,0
RRRLLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,89902,333,375,0
RRRLLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,92774,351,358,0
RRRLLRLRLRR,TIMEOUT,-1,20000000,-1,0,0,9442,108,106,0
RRRLLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,85874,322,348,0
RRRLLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,84725,326,336,0
RRRLLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,87183,314,352,0
RRRLLRLLRRR,TIMEOUT,-1,20000000,-1,0,0,929,34,34,0
RRRLLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,78335,301,310,0
RRRLLRLLRLR,TIMEOUT,-1,20000000,-1,0,0,80470,308,319,0
RRRLLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,8025,101,101,0
RRRLLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,83117,319,316,0
RRRLLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,81452,312,354,0
RRRLLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,8364,105,105,0
RRRLLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,70915,300,296,0
RRRLLLRRRRR,HIGHWAY,2194242,2198528,560,2,2,19045,190,159,1
RRRLLLRRRRL,TIMEOUT,-1,20000000,-1,0,0,111662,406,379,0
RRRLLLRRRLR,HIGHWAY,99,1024,38,-1,1,198,30,30,1
RRRLLLRRRLL,HIGHWAY,99,1024,38,-1,1,198,30,30,1
RRRLLLRRLRR,TIMEOUT,-1,20000000,-1,0,0,94815,358,371,0
RRRLLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,223403,634,568,0
RRRLLLRRLLR,TIMEOUT,-1,20000000,-1,0,0,58864,291,284,0
RRRLLLRRLLL,TIMEOUT,-1,20000000,-1,0,0,149755,459,439,0
RRRLLLRLRRR,TIMEOUT,-1,20000000,-1,0,0,14639,131,122,0
RRRLLLRLRRL,TIMEOUT,-1,20000000,-1,0,0,94718,334,374,0
RRRLLLRLRLR,TIMEOUT,-1,20000000,-1,0,0,95589,346,363,0
RRRLLLRLRLL,TIMEOUT,-1,20000000,-1,0,0,96460,358,372,0
RRRLLLRLLRR,TIMEOUT,-1,20000000,-1,0,0,94740,355,334,0
RRRLLLRLLRL,TIMEOUT,-1,20000000,-1,0,0,100017,375,341,0
RRRLLLRLLLR,TIMEOUT,-1,20000000,-1,0,0,89423,334,342,0
RRRLLLRLLLL,TIMEOUT,-1,20000000,-1,0,0,104668,379,346,0
RRRLLLLRRRR,TIMEOUT,-1,20000000,-1,0,0,926,32,33,0
RRRLLLLRRRL,TIMEOUT,-1,20000000,-1,0,0,81280,323,305,0
RRRLLLLRRLR,TIMEOUT,-1,20000000,-1,0,0,22664,160,158,0
RRRLLLLRRLL,TIMEOUT,-1,20000000,-1,0,0,9966,115,115,0
RRRLLLLRLRR,TIMEOUT,-1,20000000,-1,0,0,85549,329,332,0
RRRLLLLRLRL,TIMEOUT,-1,20000000,-1,0,0,82283,333,329,0
RRRLLLLRLLR,TIMEOUT,-1,20000000,-1,0,0,9312,110,109,0
RRRLLLLRLLL,TIMEOUT,-1,20000000,-1,0,0,76294,306,308,0
RRRLLLLLRRR,TIMEOUT,-1,20000000,-1,0,0,26045,171,174,0
RRRLLLLLRRL,TIMEOUT,-1,20000000,-1,0,0,86983,321,323,0
RRRLLLLLRLR,TIMEOUT,-1,20000000,-1,0,0,83563,326,311,0
RRRLLLLLRLL,TIMEOUT,-1,20000000,-1,0,0,80993,317,329,0
RRRLLLLLLRR,TIMEOUT,-1,20000000,-1,0,0,24536,159,162,0
RRRLLLLLLRL,TIMEOUT,-1,20000000,-1,0,0,90742,306,301,0
RRRLLLLLLLR,TIMEOUT,-1,20000000,-1,0,0,1156,34,34,0
RRRLLLLLLLL,TIMEOUT,-1,20000000,-1,0,0,79681,292,290,0
RRLRRRRRRRR,TIMEOUT,-1,20000000,-1,0,0,87642,333,312,0
RRLRRRRRRRL,TIMEOUT,-1,20000000,-1,0,0,3336811,1828,1828,0
RRLRRRRRRLR,TIMEOUT,-1,20000000,-1,0,0,3324550,1825,1825,0
RRLRRRRRRLL,TIMEOUT,-1,20000000,-1,0,0,3338705,1828,1829,0
RRLRRRRRLRR,TIMEOUT,-1,20000000,-1,0,0,3338854,1829,1828,0
RRLRRRRRLRL,TIMEOUT,-1,20000000,-1,0,0,3338923,1828,1829,0
RRLRRRRRLLR,TIMEOUT,-1,20000000,-1,0,0,3338965,1828,1829,0
RRLRRRRRLLL,TIMEOUT,-1,20000000,-1,0,0,3339006,1828,1829,0
RRLRRRRLRRR,TIMEOUT,-1,20000000,-1,0,0,3338711,1827,1830,0
RRLRRRRLRRL,TIMEOUT,-1,20000000,-1,0,0,163916,473,484,0
RRLRRRRLRLR,TIMEOUT,-1,20000000,-1,0,0,144460,467,424,0
RRLRRRRLRLL,TIMEOUT,-1,20000000,-1,0,0,3339094,1829,1828,0
RRLRRRRLLRR,TIMEOUT,-1,20000000,-1,0,0,3338875,1829,1828,0
RRLRRRRLLRL,TIMEOUT,-1,20000000,-1,0,0,3337637,1828,1828,0
RRLRRRRLLLR,TIMEOUT,-1,20000000,-1,0,0,3338810,1829,1828,0
RRLRRRRLLLL,TIMEOUT,-1,20000000,-1,0,0,16796,130,144,0
RRLRRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,112724,378,430,0
RRLRRRLRRRL,TIMEOUT,-1,20000000,-1,0,0,194891,557,550,0
RRLRRRLRRLR,TIMEOUT,-1,20000000,-1,0,0,178657,517,521,0
RRLRRRLRRLL,TIMEOUT,-1,20000000,-1,0,0,131659,404,444,0
RRLRRRLRLRR,TIMEOUT,-1,20000000,-1,0,0,209549,549,560,0
RRLRRRLRLRL,TIMEOUT,-1,20000000,-1,0,0,218111,541,625,0
RRLRRRLRLLR,TIMEOUT,-1,20000000,-1,0,0,143239,493,450,0
RRLRRRLRLLL,TIMEOUT,-1,20000000,-1,0,0,154177,464,441,0
RRLRRRLLRRR,TIMEOUT,-1,20000000,-1,0,0,128375,397,402,0
RRLRRRLLRRL,HIGHWAY,120059,121856,216,2,-2,4781,99,92,1
RRLRRRLLRLR,TIMEOUT,-1,20000000,-1,0,0,172272,559,505,0
RRLRRRLLRLL,TIMEOUT,-1,20000000,-1,0,0,182034,541,474,0
RRLRRRLLLRR,HIGHWAY,1943094,1946624,244,-2,-2,31826,219,218,1
RRLRRRLLLRL,TIMEOUT,-1,20000000,-1,0,0,171886,481,516,0
RRLRRRLLLLR,TIMEOUT,-1,20000000,-1,0,0,157653,456,434,0
RRLRRRLLLLL,TIMEOUT,-1,20000000,-1,0,0,256727,536,530,0
RRLRRLRRRRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLRRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRRRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLRRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,1230,36,36,0
RRLRLRRRRRL,TIMEOUT,-1,20000000,-1,0,0,117590,376,389,0
RRLRLRRRRLR,TIMEOUT,-1,20000000,-1,0,0,125751,445,401,0
RRLRLRRRRLL,TIMEOUT,-1,20000000,-1,0,0,46746,231,252,0
RRLRLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,130188,402,475,0
RRLRLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,128348,397,451,0
RRLRLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,20023,171,162,0
RRLRLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,129938,412,428,0
RRLRLRRLRRR,HIGHWAY,5316,7168,180,2,-2,686,47,43,1
RRLRLRRLRRL,TIMEOUT,-1,20000000,-1,0,0,139524,455,446,0
RRLRLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,158192,450,502,0
RRLRLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,141065,445,425,0
RRLRLRRLLRR,HIGHWAY,67282,70656,880,2,2,5239,105,86,1
RRLRLRRLLRL,TIMEOUT,-1,20000000,-1,0,0,152898,452,456,0
RRLRLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,147942,428,476,0
RRLRLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,164481,430,444,0
RRLRLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,106952,421,387,0
RRLRLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,123919,359,472,0
RRLRLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,128633,447,428,0
RRLRLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,146205,483,448,0
RRLRLRLRLRR,TIMEOUT,-1,20000000,-1,0,0,135049,454,444,0
RRLRLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,161907,496,446,0
RRLRLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,148601,449,503,0
RRLRLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,188441,544,532,0
RRLRLRLLRRR,TIMEOUT,-1,20000000,-1,0,0,21961,172,169,0
RRLRLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,147723,454,505,0
RRLRLRLLRLR,TIMEOUT,-1,20000000,-1,0,0,154618,473,479,0
RRLRLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,141770,461,474,0
RRLRLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,148061,499,463,0
RRLRLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,148797,484,453,0
RRLRLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,150175,449,467,0
RRLRLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,16503,171,164,0
RRLRLLRRRRR,OOB,-1,13548530,-1,0,0,2094597,2043,2036,0
RRLRLLRRRRL,OOB,-1,748101,-1,0,0,28640,1046,1084,0
RRLRLLRRRLR,OOB,-1,499204,-1,0,0,24149,1085,1038,0
RRLRLLRRRLL,OOB,-1,148550,-1,0,0,20447,1046,1037,0
RRLRLLRRLRR,TIMEOUT,-1,20000000,-1,0,0,145444,436,460,0
RRLRLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,151682,416,478,0
RRLRLLRRLLR,TIMEOUT,-1,20000000,-1,0,0,181214,468,440,0
RRLRLLRRLLL,TIMEOUT,-1,20000000,-1,0,0,154190,401,398,0
RRLRLLRLRRR,OOB,-1,1000199,-1,0,0,48447,1038,1105,0
RRLRLLRLRRL,TIMEOUT,-1,20000000,-1,0,0,153033,485,418,0
RRLRLLRLRLR,TIMEOUT,-1,20000000,-1,0,0,148853,413,430,0
RRLRLLRLRLL,TIMEOUT,-1,20000000,-1,0,0,153766,422,460,0
RRLRLLRLLRR,TIMEOUT,-1,20000000,-1,0,0,141285,418,500,0
RRLRLLRLLRL,TIMEOUT,-1,20000000,-1,0,0,147534,460,439,0
RRLRLLRLLLR,TIMEOUT,-1,20000000,-1,0,0,141511,425,426,0
RRLRLLRLLLL,TIMEOUT,-1,20000000,-1,0,0,146052,431,409,0
RRLRLLLRRRR,TIMEOUT,-1,20000000,-1,0,0,62100,248,254,0
RRLRLLLRRRL,TIMEOUT,-1,20000000,-1,0,0,165823,422,402,0
RRLRLLLRRLR,TIMEOUT,-1,20000000,-1,0,0,166388,404,422,0
RRLRLLLRRLL,TIMEOUT,-1,20000000,-1,0,0,151227,398,392,0
RRLRLLLRLRR,TIMEOUT,-1,20000000,-1,0,0,191882,462,428,0
RRLRLLLRLRL,TIMEOUT,-1,20000000,-1,0,0,271030,510,544,0
RRLRLLLRLLR,TIMEOUT,-1,20000000,-1,0,0,201224,505,511,0
RRLRLLLRLLL,TIMEOUT,-1,20000000,-1,0,0,182654,457,481,0
RRLRLLLLRRR,TIMEOUT,-1,20000000,-1,0,0,137922,368,384,0
RRLRLLLLRRL,TIMEOUT,-1,20000000,-1,0,0,146613,380,394,0
RRLRLLLLRLR,TIMEOUT,-1,20000000,-1,0,0,254201,500,529,0
RRLRLLLLRLL,TIMEOUT,-1,20000000,-1,0,0,402295,626,656,0
RRLRLLLLLRR,TIMEOUT,-1,20000000,-1,0,0,188390,434,436,0
