rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
RLRRRLRRRRRL,OOB,-1,16596478,-1,0,0,4155467,2041,2038,0
RLRRRLRRRRLR,OOB,-1,16644671,-1,0,0,4167723,2042,2043,0
RLRRRLRRRRLL,TIMEOUT,-1,20000000,-1,0,0,147638,455,406,0
RLRRRLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,180649,483,493,0
RLRRRLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,158875,448,483,0
RLRRRLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,152153,465,431,0
RLRRRLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,145928,477,402,0
RLRRRLRRLRRR,TIMEOUT,-1,20000000,-1,0,0,177986,471,503,0
RLRRRLRRLRRL,TIMEOUT,-1,20000000,-1,0,0,199014,610,485,0
RLRRRLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,162261,472,507,0
RLRRRLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,164171,488,456,0
RLRRRLRRLLRR,OOB,-1,16660921,-1,0,0,4171807,2043,2044,0
RLRRRLRRLLRL,OOB,-1,16652710,-1,0,0,4169762,2043,2043,0
RLRRRLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,160231,465,448,0
RLRRRLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,155482,433,536,0
RLRRRLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,138445,422,443,0
RLRRRLRLRRRL,OOB,-1,16636694,-1,0,0,4165676,2042,2042,0
RLRRRLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,162161,467,493,0
RLRRRLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,147798,471,430,0
RLRRRLRLRLRR,TIMEOUT,-1,20000000,-1,0,0,147561,458,493,0
RLRRRLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,153948,457,502,0
RLRRRLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,151288,452,466,0
RLRRRLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,162863,469,509,0
RLRRRLRLLRRR,TIMEOUT,-1,20000000,-1,0,0,143413,450,440,0
RLRRRLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,148032,451,422,0
RLRRRLRLLRLR,HIGHWAY,201370,204800,992,-8,-8,7413,149,100,1
RLRRRLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,159014,471,462,0
RLRRRLRLLLRR,OOB,-1,16661122,-1,0,0,4171807,2044,2043,0
RLRRRLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,153982,421,488,0
RLRRRLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,135149,406,473,0
RLRRRLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,129076,415,420,0
RLRRRLLRRRRR,OOB,-1,16652754,-1,0,0,4169768,2043,2043,0
RLRRRLLRRRRL,OOB,-1,16652678,-1,0,0,4169762,2043,2043,0
RLRRRLLRRRLR,OOB,-1,16589214,-1,0,0,4141090,2038,2034,0
RLRRRLLRRRLL,OOB,-1,16628775,-1,0,0,4163625,2042,2041,0
RLRRRLLRRLRR,OOB,-1,16644444,-1,0,0,4167721,2043,2042,0
RLRRRLLRRLRL,OOB,-1,16644620,-1,0,0,4167721,2043,2042,0
RLRRRLLRRLLR,OOB,-1,16678516,-1,0,0,4171751,2044,2043,0
RLRRRLLRRLLL,OOB,-1,16636932,-1,0,0,4165659,2042,2042,0
RLRRRLLRLRRR,OOB,-1,16644426,-1,0,0,4167721,2043,2042,0
RLRRRLLRLRRL,OOB,-1,16431847,-1,0,0,4104164,2022,2032,0
RLRRRLLRLRLR,OOB,-1,16644522,-1,0,0,4167721,2043,2042,0
RLRRRLLRLRLL,OOB,-1,16615662,-1,0,0,4161469,2041,2041,0
RLRRRLLRLLRR,OOB,-1,16645435,-1,0,0,4167713,2042,2043,0
RLRRRLLRLLRL,TIMEOUT,-1,20000000,-1,0,0,4115228,2033,2029,0
RLRRRLLRLLLR,OOB,-1,16644564,-1,0,0,4167721,2043,2042,0
RLRRRLLRLLLL,OOB,-1,16629251,-1,0,0,4163621,2042,2041,0
RLRRRLLLRRRR,TIMEOUT,-1,20000000,-1,0,0,125640,429,370,0
RLRRRLLLRRRL,OOB,-1,16644868,-1,0,0,4167711,2043,2042,0
RLRRRLLLRRLR,TIMEOUT,-1,20000000,-1,0,0,137649,415,435,0
RLRRRLLLRRLL,TIMEOUT,-1,20000000,-1,0,0,155260,442,439,0
RLRRRLLLRLRR,TIMEOUT,-1,20000000,-1,0,0,151832,458,459,0
RLRRRLLLRLRL,OOB,-1,16600536,-1,0,0,4157365,2038,2042,0
RLRRRLLLRLLR,OOB,-1,16632680,-1,0,0,4163487,2042,2041,0
RLRRRLLLRLLL,TIMEOUT,-1,20000000,-1,0,0,131548,422,438,0
RLRRRLLLLRRR,OOB,-1,16660883,-1,0,0,4171801,2043,2044,0
RLRRRLLLLRRL,TIMEOUT,-1,20000000,-1,0,0,176906,471,464,0
RLRRRLLLLRLR,OOB,-1,16616814,-1,0,0,4159531,2041,2040,0
RLRRRLLLLRLL,OOB,-1,16652764,-1,0,0,4169752,2044,2042,0
RLRRRLLLLLRR,OOB,-1,16660931,-1,0,0,4171801,2043,2044,0
RLRRRLLLLLRL,TIMEOUT,-1,20000000,-1,0,0,165441,436,456,0
RLRRRLLLLLLR,OOB,-1,16644542,-1,0,0,4167723,2043,2042,0
RLRRRLLLLLLL,OOB,-1,16652803,-1,0,0,4169762,2043,2043,0
RLRRLRRRRRRR,TIMEOUT,-1,20000000,-1,0,0,3319,66,66,0
RLRRLRRRRRRL,TIMEOUT,-1,20000000,-1,0,0,81094,316,352,0
RLRRLRRRRRLR,TIMEOUT,-1,20000000,-1,0,0,110503,403,401,0
RLRRLRRRRRLL,TIMEOUT,-1,20000000,-1,0,0,80750,343,327,0
RLRRLRRRRLRR,TIMEOUT,-1,20000000,-1,0,0,174560,509,522,0
RLRRLRRRRLRL,TIMEOUT,-1,20000000,-1,0,0,112636,409,395,0
RLRRLRRRRLLR,TIMEOUT,-1,20000000,-1,0,0,86048,328,340,0
RLRRLRRRRLLL,TIMEOUT,-1,20000000,-1,0,0,94166,375,355,0
RLRRLRRRLRRR,TIMEOUT,-1,20000000,-1,0,0,200794,473,619,0
RLRRLRRRLRRL,TIMEOUT,-1,20000000,-1,0,0,189128,550,507,0
RLRRLRRRLRLR,TIMEOUT,-1,20000000,-1,0,0,151410,443,528,0
RLRRLRRRLRLL,TIMEOUT,-1,20000000,-1,0,0,156551,521,432,0
RLRRLRRRLLRR,TIMEOUT,-1,20000000,-1,0,0,93674,369,328,0
RLRRLRRRLLRL,TIMEOUT,-1,20000000,-1,0,0,108186,382,380,0
RLRRLRRRLLLR,TIMEOUT,-1,20000000,-1,0,0,128838,432,386,0
RLRRLRRRLLLL,TIMEOUT,-1,20000000,-1,0,0,105778,394,377,0
RLRRLRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,165533,481,492,0
RLRRLRRLRRRL,TIMEOUT,-1,20000000,-1,0,0,190225,447,563,0
RLRRLRRLRRLR,TIMEOUT,-1,20000000,-1,0,0,244831,630,624,0
RLRRLRRLRRLL,TIMEOUT,-1,20000000,-1,0,0,187172,498,538,0
RLRRLRRLRLRR,TIMEOUT,-1,20000000,-1,0,0,201487,507,577,0
RLRRLRRLRLRL,TIMEOUT,-1,20000000,-1,0,0,193934,570,520,0
RLRRLRRLRLLR,TIMEOUT,-1,20000000,-1,0,0,179775,516,510,0
RLRRLRRLRLLL,TIMEOUT,-1,20000000,-1,0,0,198076,489,602,0
RLRRLRRLLRRR,TIMEOUT,-1,20000000,-1,0,0,117515,389,389,0
RLRRLRRLLRRL,TIMEOUT,-1,20000000,-1,0,0,138301,434,444,0
RLRRLRRLLRLR,TIMEOUT,-1,20000000,-1,0,0,144450,446,454,0
RLRRLRRLLRLL,TIMEOUT,-1,20000000,-1,0,0,143420,438,443,0
RLRRLRRLLLRR,TIMEOUT,-1,20000000,-1,0,0,137666,388,496,0
RLRRLRRLLLRL,TIMEOUT,-1,20000000,-1,0,0,132181,417,437,0
RLRRLRRLLLLR,TIMEOUT,-1,20000000,-1,0,0,6748,89,92,0
RLRRLRRLLLLL,TIMEOUT,-1,20000000,-1,0,0,122933,407,368,0
RLRRLRLRRRRR,TIMEOUT,-1,20000000,-1,0,0,222349,517,607,0
RLRRLRLRRRRL,TIMEOUT,-1,20000000,-1,0,0,221229,593,531,0
RLRRLRLRRRLR,TIMEOUT,-1,20000000,-1,0,0,236345,578,665,0
RLRRLRLRRRLL,TIMEOUT,-1,20000000,-1,0,0,237843,677,563,0
RLRRLRLRRLRR,TIMEOUT,-1,20000000,-1,0,0,276440,537,709,0
RLRRLRLRRLRL,TIMEOUT,-1,20000000,-1,0,0,249150,676,625,0
RLRRLRLRRLLR,TIMEOUT,-1,20000000,-1,0,0,235335,663,563,0
RLRRLRLRRLLL,TIMEOUT,-1,20000000,-1,0,0,244517,618,594,0
RLRRLRLRLRRR,HIGHWAY,48892,52224,1062,-3,11,3648,79,117,1
RLRRLRLRLRRL,TIMEOUT,-1,20000000,-1,0,0,252086,619,678,0
RLRRLRLRLRLR,TIMEOUT,-1,20000000,-1,0,0,255116,658,625,0
RLRRLRLRLRLL,TIMEOUT,-1,20000000,-1,0,0,222128,534,644,0
RLRRLRLRLLRR,TIMEOUT,-1,20000000,-1,0,0,224150,614,593,0
RLRRLRLRLLRL,TIMEOUT,-1,20000000,-1,0,0,232490,567,553,0
RLRRLRLRLLLR,TIMEOUT,-1,20000000,-1,0,0,220383,532,623,0
RLRRLRLRLLLL,TIMEOUT,-1,20000000,-1,0,0,209492,518,564,0
RLRRLRLLRRRR,TIMEOUT,-1,20000000,-1,0,0,169680,519,520,0
RLRRLRLLRRRL,TIMEOUT,-1,20000000,-1,0,0,171602,458,543,0
RLRRLRLLRRLR,TIMEOUT,-1,20000000,-1,0,0,167519,565,462,0
RLRRLRLLRRLL,HIGHWAY,6493,7168,152,2,-2,733,36,35,1
RLRRLRLLRLRR,TIMEOUT,-1,20000000,-1,0,0,157141,510,416,0
RLRRLRLLRLRL,TIMEOUT,-1,20000000,-1,0,0,150322,451,433,0
RLRRLRLLRLLR,TIMEOUT,-1,20000000,-1,0,0,142884,464,432,0
RLRRLRLLRLLL,HIGHWAY,809257,813056,180,-2,-2,18664,172,199,1
RLRRLRLLLRRR,TIMEOUT,-1,20000000,-1,0,0,149699,467,471,0
RLRRLRLLLRRL,TIMEOUT,-1,20000000,-1,0,0,170682,554,490,0
RLRRLRLLLRLR,TIMEOUT,-1,20000000,-1,0,0,144516,465,462,0
RLRRLRLLLRLL,TIMEOUT,-1,20000000,-1,0,0,133985,430,447,0
RLRRLRLLLLRR,TIMEOUT,-1,20000000,-1,0,0,141775,415,465,0
RLRRLRLLLLRL,TIMEOUT,-1,20000000,-1,0,0,141844,440,419,0
RLRRLRLLLLLR,TIMEOUT,-1,20000000,-1,0,0,162809,435,436,0
RLRRLRLLLLLL,TIMEOUT,-1,20000000,-1,0,0,139823,422,403,0
RLRRLLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,157966,410,404,0
RLRRLLRRRRRL,TIMEOUT,-1,20000000,-1,0,0,5752,80,78,0
RLRRLLRRRRLR,TIMEOUT,-1,20000000,-1,0,0,138593,410,430,0
RLRRLLRRRRLL,TIMEOUT,-1,20000000,-1,0,0,122262,385,402,0
RLRRLLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,150310,400,525,0
RLRRLLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,135014,480,412,0
RLRRLLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,135686,384,428,0
RLRRLLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,137129,429,455,0
RLRRLLRRLRRR,HIGHWAY,130688,132096,168,-2,-2,4713,104,75,1
RLRRLLRRLRRL,HIGHWAY,698150,699392,172,-2,-2,16861,154,179,1
RLRRLLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,169533,456,548,0
RLRRLLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,162961,463,465,0
RLRRLLRRLLRR,TIMEOUT,-1,20000000,-1,0,0,141185,442,461,0
RLRRLLRRLLRL,TIMEOUT,-1,20000000,-1,0,0,147939,458,451,0
RLRRLLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,8096,96,103,0
RLRRLLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,133961,421,418,0
RLRRLLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,148632,421,461,0
RLRRLLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,186742,549,570,0
RLRRLLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,197219,456,633,0
RLRRLLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,188386,568,486,0
RLRRLLRLRLRR,HIGHWAY,555362,558080,686,-5,-7,13652,126,182,1
RLRRLLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,183333,534,487,0
RLRRLLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,219299,626,623,0
RLRRLLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,196858,492,521,0
RLRRLLRLLRRR,TIMEOUT,-1,20000000,-1,0,0,147487,452,438,0
RLRRLLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,193351,510,605,0
RLRRLLRLLRLR,TIMEOUT,-1,20000000,-1,0,0,173526,530,505,0
RLRRLLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,182936,466,599,0
RLRRLLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,161357,518,461,0
RLRRLLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,186642,495,576,0
RLRRLLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,215077,539,617,0
RLRRLLRLLLLL,HIGHWAY,860474,863232,732,6,-2,21815,206,179,1
